codigo,nome,turma,docente,horario,qnt_vagas,local,departamento_id
CDS0004,CDS0004 - AGRICULTURA E MEIO AMBIENTE,01,AMANDA FREDERICO MORTATI ,5T2345 ,30,CDS,640
CDS0007,CDS0007 - INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,01,ALEXANDRE BETINARDI STRAPASSON ,35N34 ,40,BSA S,640
CDS0007,CDS0007 - INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,02,MAURO GUILHERME MAIDANA CAPPELLARO ,36N12 ,50,FT,640
CDS0008,"CDS0008 - MEIO AMBIENTE, CULTURA E SOCIEDADE",01,DORIS ALEIDA VILLAMIZAR SAYAGO ,35N34 ,40,BSA S,640
CDS0010,CDS0010 - TRABALHO INTERDISCIPLINAR INTEGRADO 1,01,AMANDA FREDERICO MORTATI ,6N34 ,30,BSA S,640
CDS0011,CDS0011 - SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,01,FREDERIC ADELIN GEORGES MERTENS ,6T2345 ,25,CDS,640
CDS0012,CDS0012 - POLÍTICAS PÚBLICAS E MEIO AMBIENTE,01,ANA KARINE PEREIRA ,35N34 ,30,BSA S,640
CDS0013,CDS0013 - POPULAÇÃO E MEIO AMBIENTE,01,MONICA CELEIDA RABELO NOGUEIRA ,35N12 ,25,BSA S,640
CDS0015,CDS0015 - INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL,01,DIEGO PEREIRA LINDOSO ,35N12 ,25,BSA S,640
CDS0019,CDS0019 - PRÁTICA DE PESQUISA 1,01,MAURICIO DE CARVALHO AMAZONAS ,35N34 ,25,BSA S,640
FCTE0004,FCTE0004 - MATEMÁTICA PARA COMPETIÇÕES,01,EDSON ALVES DA COSTA JUNIOR ,35T6 35N1 ,80,FCTE - S10,673
FGA0003,FGA0003 - COMPILADORES 1,01,SERGIO ANTONIO ANDRADE DE FREITAS ,24T23 ,80,FCTE - S2 / I9,673
FGA0003,FGA0003 - COMPILADORES 1,02,FABIO MACEDO MENDES ,46T45 ,80,FCTE - S3,673
FGA0006,FGA0006 - FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA,01,RONNI GERALDO GOMES DE AMORIM ,35M34 ,10,FCTE - LDTEA 303,673
FGA0008,FGA0008 - SISTEMAS AEROESPACIAIS,01,RONNE TOLEDO ,24M34 ,45,FCTE - CONTEINER 17,673
FGA0017,FGA0017 - PROJETOS DE CIRCUITOS INTEGRADOS 1,01,WELLINGTON AVELINO DO AMARAL ,35T23 ,30,FCTE - LDTEA 303 / LAB SS,673
FGA0023,FGA0023 - DINÂMICA DOS MECANISMOS,01,RITA DE CASSIA SILVA ,35M12 ,40,FCTE - I6,673
FGA0025,FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA,01,JORGE ANDRES CORMANE ANGARITA ,24T23 ,40,FCTE - I8,673
FGA0030,FGA0030 - ESTRUTURAS DE DADOS 2,01,EDSON ALVES DA COSTA JUNIOR ,35T23 ,80,FCTE - S1,673
FGA0030,FGA0030 - ESTRUTURAS DE DADOS 2,02,MAURICIO SERRANO ,26M12 ,80,FCTE - MOCAP,673
FGA0034,FGA0034 - TÓPICOS ESPECIAIS EM MATEMÁTICA APLICADA,01,VINICIUS DE CARVALHO RISPOLI ,35T23 ,25,FCTE - I7,673
FGA0034,FGA0034 - TÓPICOS ESPECIAIS EM MATEMÁTICA APLICADA,02,BRUNO LUIZ PEREIRA ,24T6 24N1 ,45,FCTE - S4,673
FGA0037,FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,01,WILLIAM REIS SILVA ,46T23 ,30,FCTE - I6 / I1,673
FGA0037,FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,02,FERNANDO MEREGE ,26M12 ,25,FCTE - I1 / I2,673
FGA0038,FGA0038 - AERODINÂMICA DE SISTEMAS AEROESPACIAIS,01,OLEXIY SHYNKARENKO ,35T45 6T4 ,30,FCTE - I4,673
FGA0039,FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS,01,ARTEM ANDRIANOV ,2M5 35M12 ,45,FCTE - I7 / I4 / I5,673
FGA0040,FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO,01,RAFAEL RODRIGUES DA SILVA ,24M34 ,16,FCTE - CONTEINER 04,673
FGA0043,FGA0043 - DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS,01,OLEXIY SHYNKARENKO ,35T23 ,30,FCTE - S5,673
FGA0044,FGA0044 - PROJETO DE SISTEMAS DE CONTROLE,01,THIAGO FELIPPE KURUDEZ CORDEIRO ,46M12 ,20,FCTE - I6 / I5,673
FGA0045,FGA0045 - MECÂNICA DO VÔO,01,POLLIANA CANDIDA OLIVEIRA MARTINS ,46M34 ,30,FCTE - S8 / S6,673
FGA0047,FGA0047 - PROCESSOS PETROQUÍMICOS,01,ANDREIA ALVES COSTA LINDINGER ,35M34 ,45,FCTE - I1,673
FGA0048,FGA0048 - MECÂNICA DO VOO ESPACIAL,01,WILLIAM REIS SILVA ,46M34 ,45,FCTE - I5,673
FGA0050,FGA0050 - DINÂMICA DE ESTRUTURAS AEROESPACIAIS,01,SERGIO HENRIQUE DA SILVA CARNEIRO ,35M34 ,45,FCTE - S6,673
FGA0055,FGA0055 - TECNOLOGIAS DE FABRICAÇÃO 1,01,RHANDER VIANA ,35T23 ,16,FCTE - S8,673
FGA0056,FGA0056 - TECNOLOGIAS DE FABRICAÇÃO 2,01,EDISON GUSTAVO CUEVA GALARRAGA ,35M34 ,15,FCTE - I8,673
FGA0060,FGA0060 - SISTEMAS DE BANCO DE DADOS 2,01,VANDOR ROBERTO VILARDI RISSOLI ,35M12 ,80,FCTE - MOCAP,673
FGA0060,FGA0060 - SISTEMAS DE BANCO DE DADOS 2,02,VANDOR ROBERTO VILARDI RISSOLI ,35T23 ,80,FCTE - I10,673
FGA0067,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,01,LUIS FILOMENO DE JESUS FERNANDES ,24M12 ,70,FCTE - I3 / S4,673
FGA0067,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,02,EULER DE VILHENA GARCIA ,35M12 Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50,90,FCTE - S9,673
FGA0067,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,03,LUCIANO EMIDIO NEVES DA FONSECA ,24T23 Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,90,FCTE - S9,673
FGA0068,FGA0068 - TEORIA DE CIRCUITOS ELETRÔNICOS 2,01,GILMAR SILVA BESERRA ,24M34 ,60,FCTE - I6,673
FGA0069,FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,01,CLAUDIA PATRICIA OCHOA DIAZ ,5M12 ,16,FCTE - LAB NEI 1,673
FGA0069,FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,02,MARCUS VINICIUS CHAFFIM COSTA ,3M34 ,24,FCTE - LAB NEI 1,673
FGA0069,FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,03,MARCUS VINICIUS CHAFFIM COSTA ,5M34 ,24,FCTE - LAB NEI 1,673
FGA0070,FGA0070 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 2,01,DIOGO DE OLIVEIRA COSTA ,3T23 ,20,FCTE - LAB NEI 1,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,01,CLAUDIA PATRICIA OCHOA DIAZ ,3M12 ,16,FCTE- LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,02,HENRIQUE MARRA TAIRA MENEGAZ ,3T23 ,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,03,HENRIQUE MARRA TAIRA MENEGAZ ,5M12 ,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,04,HENRIQUE MARRA TAIRA MENEGAZ ,5M34 ,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,05,HENRIQUE MARRA TAIRA MENEGAZ ,3M5 3T1 ,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,06,MARCELINO MONTEIRO DE ANDRADE ,4M12 Quarta-feira 08:00 às 09:50,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,07,MARCELINO MONTEIRO DE ANDRADE ,4M34 Quarta-feira 10:00 às 11:50,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,08,MARCELINO MONTEIRO DE ANDRADE ,4T23 Quarta-feira 14:00 às 15:50,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,09,MARCELINO MONTEIRO DE ANDRADE ,4T45 ,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,11,THIAGO LUIZ DE SOUZA GOMES ,6M34 ,16,FCTE - LAB NEI 2,673
FGA0071,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,12,THIAGO LUIZ DE SOUZA GOMES ,6M12 ,16,FCTE - LAB NEI 2,673
FGA0072,FGA0072 - PRÁTICA DE ELETRÔNICA DIGITAL 2,01,GILMAR SILVA BESERRA ,2M12 ,30,FCTE - LAB SS,673
FGA0072,FGA0072 - PRÁTICA DE ELETRÔNICA DIGITAL 2,02,GILMAR SILVA BESERRA ,4M12 ,30,FCTE - LAB SS,673
FGA0073,FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1,01,RENATO VILELA LOPES ,46M12 ,80,FCTE - I9 / S1,673
FGA0073,FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1,02,RENATO VILELA LOPES ,46T23 Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50,80,FCTE - S2,673
FGA0074,FGA0074 - TEORIA DE ELETRÔNICA DIGITAL 2,01,DANIEL MAURICIO MUNOZ ARBOLEDA ,35M34 ,60,FCTE - I2,673
FGA0075,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,01,EMMANUEL PACHECO ROCHA LIMA ,2T4 ,15,FCTE - LAB MATERIAIS,673
FGA0075,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,02,EMMANUEL PACHECO ROCHA LIMA ,3M4 ,15,FCTE - LAB MATERIAIS,673
FGA0075,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,03,EMMANUEL PACHECO ROCHA LIMA ,3M3 ,15,FCTE - LAB MATERIAIS,673
FGA0075,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,04,EMMANUEL PACHECO ROCHA LIMA ,4M5 ,15,FCTE - LAB MATERIAIS,673
FGA0075,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,08,EMMANUEL PACHECO ROCHA LIMA ,4T4 ,15,FCTE - LAB MATERIAIS,673
FGA0075,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,09,RODRIGO ARBEY MUNOZ MENESES ,5M3 ,15,FCTE - LAB MATERIAIS,673
FGA0076,FGA0076 - EQUIPAMENTOS TERMOFLUIDOS AUTOMOTIVOS,01,ALESSANDRO BORGES DE SOUSA OLIVEIRA ,46M12 ,45,FCTE - I4,673
FGA0077,FGA0077 - INTRODUÇÃO AO DESGASTE,01,EDISON GUSTAVO CUEVA GALARRAGA ,35T23 ,10,FCTE - MULTIUSO,673
FGA0078,FGA0078 - TEORIA DE MATERIAIS DE CONSTRUÇÃO,01,EMMANUEL PACHECO ROCHA LIMA ,2T23 4T1 ,60,FCTE - I2 / I1,673
FGA0078,FGA0078 - TEORIA DE MATERIAIS DE CONSTRUÇÃO,02,RODRIGO ARBEY MUNOZ MENESES ,3T23 5T2 ,60,FCTE - I2,673
FGA0083,FGA0083 - APRENDIZADO DE MÁQUINA,01,SERGIO ANTONIO ANDRADE DE FREITAS ,24T45 ,50,FCTE - S7,673
FGA0085,FGA0085 - MATEMÁTICA DISCRETA 1,01,GLAUCO VITOR PEDROSA ,24M12 ,60,FCTE - S9,673
FGA0086,FGA0086 - TEORIA DE ELETRICIDADE APLICADA,01,JORGE ANDRES CORMANE ANGARITA ,24M12 ,60,FCTE - I8,673
FGA0086,FGA0086 - TEORIA DE ELETRICIDADE APLICADA,02,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA ,24T45 ,60,FCTE - S8,673
FGA0087,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,01,LOANA NUNES VELASCO ,2T45 ,20,FCTE - LAB ELET,673
FGA0087,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,02,LOANA NUNES VELASCO ,4T23 ,20,FCTE - LAB ELET,673
FGA0087,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,03,RUDI HENRI VAN ELS ,3T23 ,20,FCTE - LAB ELET,673
FGA0087,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,04,RUDI HENRI VAN ELS ,3T45 ,20,FCTE - LAB ELET,673
FGA0087,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,05,JORGE ANDRES CORMANE ANGARITA ,2M34 ,20,FCTE - LAB ELET,673
FGA0088,FGA0088 - TEORIA DE SISTEMAS DE CONVERSÃO DE ENERGIA,01,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA ,46M12 ,40,FCTE - I3,673
FGA0089,FGA0089 - LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA,01,RUDI HENRI VAN ELS ,4T45 ,20,FCTE - LAB ELET,673
FGA0090,FGA0090 - ONDULATÓRIA E FÍSICA TÉRMICA PARA ENGENHARIA,01,EBERTH DE ALMEIDA CORREA ,35T23 ,45,FCTE - I1,673
FGA0091,FGA0091 - MÁQUINAS DE FLUIDO,01,JHON NERO VAZ GOULART ,24M12 4T2 ,25,FCTE - I5 / LAB TERMOFLUIDOS,673
FGA0092,FGA0092 - PRINCÍPIOS DE COMUNICAÇÃO PARA ENGENHARIA,01,DANIEL COSTA ARAUJO ,3M125 5M12 ,35,FCTE - I2 / LAB SS / I2,673
FGA0093,FGA0093 - PRINCÍPIOS DE CONTROLE,01,ROBERTO DE SOUZA BAPTISTA ,3T145 5T45 ,20,FCTE - LAB SS (Abordagem em Eletrônica),673
FGA0093,FGA0093 - PRINCÍPIOS DE CONTROLE,02,THIAGO FELIPPE KURUDEZ CORDEIRO ,46T23 5T1 ,20,FCTE - I5 / LAB SS / I5(Abordagem em Aeroespacial),673
FGA0095,"FGA0095 - CODIFICAÇÃO E COMPRESSÃO DE SINAIS, IMAGENS E VÍDEO",01,MARCUS VINICIUS CHAFFIM COSTA ,46T23 ,20,FCTE - LAB NIT-LDS,673
FGA0098,FGA0098 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 3,01,DIOGO DE OLIVEIRA COSTA ,5T23 ,20,FCTE - LAB NEI 1,673
FGA0099,FGA0099 - TEORIA DE CIRCUITOS ELETRÔNICOS 3,01,WELLINGTON AVELINO DO AMARAL ,35T45 ,45,FCTE - S8,673
FGA0100,FGA0100 - PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,02,GERARDO ANTONIO IDROBO PIZO ,3M5 3T1 ,20,FCTE - LAB NEI 1,673
FGA0100,FGA0100 - PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,03,GERARDO ANTONIO IDROBO PIZO ,6T45 ,20,FCTE - LAB NEI 1,673
FGA0101,FGA0101 - TEORIA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,01,MARCUS VINICIUS BATISTUTA ,35T45 ,60,FCTE - I8,673
FGA0102,FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA,01,LUIS FILOMENO DE JESUS FERNANDES ,356T23 ,35,FCTE - I8 / I8 / I6,673
FGA0102,FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA,02,LUCIANO EMIDIO NEVES DA FONSECA ,246M34 ,35,FCTE - LAB SS,673
FGA0104,FGA0104 - QUÍMICA ORGÂNICA APLICADA À ENGENHARIA,01,JULIANA PETROCCHI RODRIGUES ,24M34 ,45,FCTE - I1,673
FGA0105,FGA0105 - TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,01,LUI TXAI CALVOSO HABL ,24M5 24T1 ,40,FCTE - I1,673
FGA0105,FGA0105 - TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,02,ARTUR ELIAS DE MORAIS BERTOLDI ,35T45 ,40,FCTE - S6,673
FGA0105,FGA0105 - TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,03,ANDRE LUIS RODRIGUES ARAUJO ,24T45 ,40,FCTE - I5,673
FGA0106,FGA0106 - TÓPICOS ESPECIAIS 3 EM ENGENHARIA AEROESPACIAL,01,ARTUR ELIAS DE MORAIS BERTOLDI ,35M5 35T1 ,45,FCTE - S6,673
FGA0106,FGA0106 - TÓPICOS ESPECIAIS 3 EM ENGENHARIA AEROESPACIAL,02,DIOGO DE OLIVEIRA COSTA ,35M5 35T1 ,45,FCTE - I6,673
FGA0107,FGA0107 - LABORATÓRIO DE ONDULATÓRIA E FÍSICA TÉRMICA PARA A ENGENHARIA,01,EBERTH DE ALMEIDA CORREA ,5M34 ,24,FCTE - LAB OND,673
FGA0108,FGA0108 - MATEMÁTICA DISCRETA 2,02,LINDOMAR BOMFIM DE CARVALHO DE JESUS ,35M12 ,120,FCTE - S3,673
FGA0109,FGA0109 - FUNDAMENTOS DE SISTEMAS EMBARCADOS,01,RENATO CORAL SAMPAIO ,35T23 ,80,FCTE - MOCAP,673
FGA0109,FGA0109 - FUNDAMENTOS DE SISTEMAS EMBARCADOS,02,RENATO CORAL SAMPAIO ,35T45 ,80,FCTE - MOCAP,673
FGA0119,FGA0119 - TEORIA DE ELETROMAGNETISMO,01,DANIEL COSTA ARAUJO ,26M34 ,45,FCTE - I8 / I2,673
FGA0120,FGA0120 - PRÁTICA DE ELETROMAGNETISMO,01,GERARDO ANTONIO IDROBO PIZO ,6T23 Sexta-feira 14:00 às 15:50,50,FCTE - MOCAP,673
FGA0120,FGA0120 - PRÁTICA DE ELETROMAGNETISMO,02,GERARDO ANTONIO IDROBO PIZO ,3T45 Terça-feira 16:00 às 17:50,80,FCTE - I10,673
FGA0121,FGA0121 - TÓPICOS ESPECIAIS 4 EM ENGENHARIA AEROESPACIAL,01,A DEFINIR DOCENTE,3M5 2T45 3T1 ,45,FCTE - S5 / S8,673
FGA0121,FGA0121 - TÓPICOS ESPECIAIS 4 EM ENGENHARIA AEROESPACIAL,02,RONNE TOLEDO ,24T23 ,45,FCTE - CONTEINER 17,673
FGA0124,FGA0124 - PROJETO DE ALGORITMOS,01,MAURICIO SERRANO ,26M34 ,110,FCTE - S3,673
FGA0132,FGA0132 - INSTRUMENTAÇÃO ELETRÔNICA PARA ENGENHARIA,01,CLAUDIA PATRICIA OCHOA DIAZ ,35M34 ,45,FCTE - I3 / I7,673
FGA0133,FGA0133 - ENGENHARIA ECONÔMICA,01,PAULA MEYER SOARES ,35M34 ,120,FCTE - I9,673
FGA0133,FGA0133 - ENGENHARIA ECONÔMICA,02,GLAUCENY CIRNE DE MEDEIROS ,46T45 ,130,FCTE - S9,673
FGA0134,FGA0134 - TÓPICOS ESPECIAIS DE ENGENHARIA DE SOFTWARE,01,CARLA SILVA ROCHA AGUIAR ,24T23 ,30,FCTE - I4,673
FGA0134,FGA0134 - TÓPICOS ESPECIAIS DE ENGENHARIA DE SOFTWARE,02,LINDOMAR BOMFIM DE CARVALHO DE JESUS ,24M12 ,60,FCTE - S7,673
FGA0137,FGA0137 - SISTEMAS DE BANCO DE DADOS 1,01,GLAUCO VITOR PEDROSA ,46M34 ,120,FCTE - S9,673
FGA0141,FGA0141 - GESTÃO AMBIENTAL NO SETOR ENERGÉTICO,01,MARIA VITORIA DUARTE FERRARI ,46M34 ,40,FCTE - S5,673
FGA0142,FGA0142 - FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,01,TIAGO ALVES DA FONSECA ,26M12 ,80,FCTE - I9,673
FGA0142,FGA0142 - FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,02,TIAGO ALVES DA FONSECA ,24M34 ,80,FCTE - S9 / MOCAP,673
FGA0146,FGA0146 - ESTRUTURAS DE DADOS 1,01,FABRICIO ATAIDES BRAZ ,35M34 ,80,FCTE - MOCAP,673
FGA0146,FGA0146 - ESTRUTURAS DE DADOS 1,02,JOHN LENON CARDOSO GARDENGHI ,35M34 ,80,FCTE - S9,673
FGA0148,FGA0148 - ENGENHARIA DE SEGURANÇA DO TRABALHO,01,MARIA ALZIRA DE ARAUJO NUNES ,2M12 ,120,FCTE - S3,673
FGA0148,FGA0148 - ENGENHARIA DE SEGURANÇA DO TRABALHO,02,MARIA ALZIRA DE ARAUJO NUNES ,2M34 ,60,FCTE - I2,673
FGA0152,FGA0152 - ERGONOMIA DO PRODUTO,01,MATEUS RODRIGUES MIRANDA ,46M12 ,15,FCTE - I7,673
FGA0154,FGA0154 - MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,01,GLAUCENY CIRNE DE MEDEIROS ,46T23 ,60,FCTE - I3,673
FGA0154,FGA0154 - MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,02,SUZANA MOREIRA AVILA ,35M34 ,60,FCTE - S3,673
FGA0154,FGA0154 - MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,03,SERGIO HENRIQUE DA SILVA CARNEIRO ,35M12 ,60,FCTE - S6,673
FGA0155,FGA0155 - INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS,01,ENEIDA GONZALEZ VALDES ,46T23 ,40,FCTE - I7,673
FGA0156,FGA0156 - COMBUSTÍVEIS E BIOCOMBUSTÍVEIS,01,ROSEANY DE VASCONCELOS VIEIRA LOPES ,46T23 ,20,FCTE - MULTIUSO,673
FGA0157,FGA0157 - PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,01,MARILIA MIRANDA FORTE GOMES ,46M34 ,110,FCTE - S3 / S2,673
FGA0157,FGA0157 - PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,02,MARILIA MIRANDA FORTE GOMES ,46M5 46T1 ,110,FCTE - S9,673
FGA0158,FGA0158 - ORIENTAÇÃO A OBJETOS,01,ANDRE LUIZ PERON MARTINS LANNA ,24T23 ,80,FCTE - I10 / S10,673
FGA0158,FGA0158 - ORIENTAÇÃO A OBJETOS,03,HENRIQUE GOMES DE MOURA ,35M5 35T1 ,80,FCTE - I10,673
FGA0160,FGA0160 - MÉTODOS NUMÉRICOS PARA ENGENHARIA,01,RODRIGO ANDRES MIRANDA CERDA ,24M5 24T1 ,120,FCTE - S4,673
FGA0160,FGA0160 - MÉTODOS NUMÉRICOS PARA ENGENHARIA,02,RODRIGO ANDRES MIRANDA CERDA ,24T23 ,120,FCTE - S1 / S4,673
FGA0161,FGA0161 - ENGENHARIA E AMBIENTE,01,MARIA VITORIA DUARTE FERRARI ,46M12 ,120,FCTE - S3,673
FGA0161,FGA0161 - ENGENHARIA E AMBIENTE,02,AUGUSTO CESAR DE MENDONCA BRASIL ,24T45 ,120,FCTE - AUDITÓRIO,673
FGA0161,FGA0161 - ENGENHARIA E AMBIENTE,03,JULIANA DALBONI ROCHA ,35M34 ,120,FCTE - S1,673
FGA0163,FGA0163 - INTRODUÇÃO À ENGENHARIA,01,LUI TXAI CALVOSO HABL ,4T23 ,100,FCTE - AUDITÓRIO,673
FGA0163,FGA0163 - INTRODUÇÃO À ENGENHARIA,02,ROBERTO DE SOUZA BAPTISTA ,3M12 ,100,FCTE - AUDITÓRIO,673
FGA0163,FGA0163 - INTRODUÇÃO À ENGENHARIA,03,RICARDO RAMOS FRAGELLI ,2T23 ,100,FCTE - AUDITÓRIO,673
FGA0164,FGA0164 - HUMANIDADES E CIDADANIA,01,SANDRA MARIA FALEIROS LIMA ,46T23 ,60,FCTE - I2,673
FGA0164,FGA0164 - HUMANIDADES E CIDADANIA,02,SANDRA MARIA FALEIROS LIMA ,46M5 46T1 ,90,FCTE - S3,673
FGA0164,FGA0164 - HUMANIDADES E CIDADANIA,03,VANESSA MARIA DE CASTRO ,35T23 ,90,FCTE - S2,673
FGA0164,FGA0164 - HUMANIDADES E CIDADANIA,04,VANESSA MARIA DE CASTRO ,35T45 ,90,FCTE - S2,673
FGA0167,FGA0167 - SISTEMAS AUTOMOTIVOS,01,SALEH BARBOSA KHALIL ,35T23 ,45,FCTE - I6,673
FGA0168,FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,01,ENEIDA GONZALEZ VALDES ,246M12 ,70,FCTE - S10,673
FGA0168,FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,02,ANDRE LUIS RODRIGUES ARAUJO ,246M12 ,70,FCTE - I10,673
FGA0168,FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,03,HIMILSYS HERNANDEZ GONZALEZ ,235M34 ,70,FCTE - S10,673
FGA0168,FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,04,SALEH BARBOSA KHALIL ,235M34 ,70,FCTE - I10,673
FGA0168,FGA0168 - DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,05,MATEUS RODRIGUES MIRANDA ,356T45 ,70,FCTE - S10,673
FGA0169,FGA0169 - FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO,01,AUGUSTO CESAR DE MENDONCA BRASIL ,35T23 ,60,FCTE - S6,673
FGA0170,FGA0170 - FUNDAMENTOS DE SISTEMAS OPERACIONAIS,02,DANIEL SUNDFELD LIMA ,46M5 46T1 ,120,FCTE - S1,673
FGA0173,FGA0173 - INTERAÇÃO HUMANO COMPUTADOR,01,SERGIO ANTONIO ANDRADE DE FREITAS ,24M34 ,45,FCTE - I3,673
FGA0173,FGA0173 - INTERAÇÃO HUMANO COMPUTADOR,02,REJANE MARIA DA COSTA FIGUEIREDO ,35T45 ,60,FCTE - S9 / I10,673
FGA0173,FGA0173 - INTERAÇÃO HUMANO COMPUTADOR,03,ANDRE BARROS DE SALES ,35M12 ,45,FCTE - S7,673
FGA0174,FGA0174 - DESENVOLVIMENTO SUSTENTÁVEL,01,JULIANA DALBONI ROCHA ,35M12 ,20,FCTE - LDTEA 303,673
FGA0175,FGA0175 - ENGENHARIA DE PETRÓLEO E GÁS,01,FELIPE CHAGAS STORTI ,35T45 ,45,FCTE - S5,673
FGA0179,FGA0179 - MECANICA DOS SÓLIDOS 2 PARA ENGENHARIA,01,MAURA ANGELICA MILFONT SHZU ,35M34 ,50,FCTE - S8,673
FGA0188,FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA,01,RODRIGO ARBEY MUNOZ MENESES ,35M12 ,15,FCTE - MULTIUSO / LAB MATERIAIS,673
FGA0190,FGA0190 - PROJETO DE ELEMENTOS AUTOMOTIVOS,01,RITA DE CASSIA SILVA ,246M34 ,45,FCTE - I4,673
FGA0191,FGA0191 - MATERIAIS COMPOSTOS E PLÁSTICOS,01,SANDRA MARIA DA LUZ ,35T23 ,45,FCTE - I4,673
